Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,2,Not Graduate,Yes,7547,2849,140,120,1.0,Rural,Y
Male,No,3+,Not Graduate,Yes,9532,775,403,240,0.0,Rural,Y
Female,Yes,0,Not Graduate,Yes,1501,4026,425,180,0.0,Urban,Y
Female,Yes,1,Graduate,No,7868,2247,95,360,1.0,Rural,N
Female,Yes,0,Graduate,Yes,3449,78,87,180,1.0,Semiurban,N
Male,No,1,Not Graduate,No,8232,3926,191,120,1.0,Urban,Y
Female,No,3+,Graduate,No,9333,855,149,120,1.0,Urban,Y
Male,Yes,2,Not Graduate,Yes,2417,2148,377,240,0.0,Urban,N
Male,Yes,0,Not Graduate,No,4674,1031,239,360,0.0,Rural,Y
Male,No,2,Graduate,Yes,8514,4940,84,360,0.0,Urban,N
Male,Yes,0,Graduate,Yes,1589,3271,196,240,1.0,Urban,N
Male,No,1,Graduate,Yes,3209,3576,79,240,1.0,Urban,Y
Female,Yes,2,Not Graduate,Yes,4541,4182,383,360,0.0,Rural,Y
Female,No,0,Graduate,Yes,1605,3456,133,180,1.0,Semiurban,N
Female,Yes,1,Not Graduate,No,3395,3506,418,180,0.0,Urban,Y
Female,No,2,Not Graduate,No,7590,407,330,240,0.0,Semiurban,Y
Female,Yes,2,Not Graduate,No,7582,2711,473,180,0.0,Rural,Y
Male,No,0,Graduate,Yes,2134,3088,393,360,0.0,Rural,Y
Female,No,0,Graduate,Yes,3425,1668,319,120,0.0,Rural,N
Female,Yes,0,Not Graduate,Yes,3556,147,203,120,1.0,Rural,N
Male,Yes,1,Graduate,No,8417,4327,151,180,1.0,Semiurban,N
Female,No,0,Graduate,Yes,4644,3897,264,240,1.0,Urban,N
Male,Yes,2,Graduate,No,2052,1950,199,240,0.0,Rural,Y
Female,No,2,Not Graduate,No,6883,365,481,240,0.0,Rural,Y
Male,Yes,0,Not Graduate,Yes,5411,1674,132,240,0.0,Semiurban,N
Female,No,0,Graduate,Yes,4889,4531,159,240,0.0,Semiurban,N
Female,No,3+,Not Graduate,No,9942,4494,484,180,1.0,Rural,Y
Male,No,2,Graduate,Yes,3930,2546,436,120,1.0,Urban,N
Male,No,1,Graduate,No,1958,562,475,120,0.0,Urban,N
Male,No,3+,Graduate,Yes,1707,3562,324,180,0.0,Rural,Y
Male,No,0,Graduate,Yes,2399,2489,250,240,0.0,Semiurban,N
Male,Yes,0,Not Graduate,No,1521,772,333,180,1.0,Rural,Y
Male,Yes,2,Not Graduate,Yes,2394,2037,222,120,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,2014,3423,376,360,1.0,Semiurban,N
Male,No,1,Graduate,Yes,8794,2567,255,180,0.0,Rural,Y
Female,No,2,Graduate,No,6404,1573,112,240,0.0,Rural,N
Female,No,0,Graduate,No,9367,3694,122,120,1.0,Rural,Y
Male,No,2,Not Graduate,Yes,5609,3291,300,120,0.0,Semiurban,N
Female,Yes,0,Graduate,No,8679,1246,173,120,1.0,Urban,N
Female,Yes,0,Not Graduate,Yes,3060,3719,424,120,0.0,Urban,N
Female,No,0,Not Graduate,Yes,2766,3839,170,240,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,5138,359,324,360,0.0,Urban,Y
Male,Yes,1,Not Graduate,No,4927,2376,480,120,1.0,Rural,N
Female,No,2,Not Graduate,No,6280,3009,447,180,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,3427,2993,169,360,1.0,Rural,N
Female,No,0,Graduate,Yes,3856,962,471,120,1.0,Urban,N
Female,Yes,1,Graduate,No,6290,3632,486,360,1.0,Semiurban,Y
Female,No,0,Not Graduate,Yes,1806,1827,366,180,1.0,Urban,N
Male,No,1,Not Graduate,Yes,9479,1613,213,120,0.0,Urban,Y
Female,No,0,Graduate,No,5165,1640,473,180,0.0,Urban,N
Male,No,2,Not Graduate,Yes,8557,2216,335,240,0.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,2161,4312,314,120,1.0,Urban,N
Male,No,0,Graduate,Yes,6144,377,369,120,1.0,Semiurban,N
Female,No,3+,Not Graduate,No,4420,4214,210,120,0.0,Rural,Y
Male,No,1,Not Graduate,Yes,7736,4285,425,120,1.0,Urban,N
Male,Yes,0,Not Graduate,Yes,7578,369,357,240,1.0,Semiurban,N
Female,No,0,Graduate,No,1852,2196,138,120,1.0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,8505,3747,191,360,1.0,Urban,N
Female,No,3+,Graduate,No,1658,651,252,120,1.0,Rural,Y
Female,Yes,1,Not Graduate,Yes,2456,769,358,240,0.0,Semiurban,N
Female,Yes,3+,Not Graduate,No,3571,2421,276,120,0.0,Urban,Y
Female,No,2,Graduate,No,4953,780,492,360,0.0,Rural,N
Female,Yes,3+,Not Graduate,No,8175,1716,383,240,0.0,Semiurban,N
Female,No,2,Not Graduate,No,2455,3983,271,240,0.0,Semiurban,N
Female,No,1,Not Graduate,Yes,7795,1311,90,360,1.0,Rural,Y
Female,No,1,Not Graduate,Yes,3212,3359,245,360,1.0,Rural,Y
Female,Yes,1,Not Graduate,No,6203,522,117,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,8063,521,313,360,1.0,Urban,Y
Female,No,1,Not Graduate,No,7131,4878,51,360,0.0,Semiurban,N
Male,No,2,Graduate,Yes,2894,2320,410,240,0.0,Rural,N
Male,Yes,2,Not Graduate,Yes,6232,935,174,240,0.0,Rural,Y
Female,No,1,Graduate,Yes,5214,2230,159,120,1.0,Rural,Y
Female,No,3+,Not Graduate,Yes,2029,4040,135,120,0.0,Semiurban,Y
Female,No,0,Graduate,No,4458,4583,474,180,1.0,Rural,N
Female,Yes,1,Not Graduate,No,9404,4941,169,120,0.0,Rural,Y
Female,Yes,3+,Graduate,No,5091,3697,176,120,0.0,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,8395,2837,304,360,1.0,Urban,N
Female,No,1,Graduate,Yes,2025,4083,232,360,1.0,Urban,N
Female,No,1,Not Graduate,Yes,7977,2461,65,120,0.0,Semiurban,Y
Male,No,2,Graduate,No,1501,3243,111,180,0.0,Rural,N
Female,Yes,0,Graduate,No,1874,3359,418,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,Yes,6148,685,481,120,0.0,Urban,N
Female,No,3+,Not Graduate,No,3865,2160,207,120,0.0,Urban,Y
Female,No,2,Graduate,Yes,3025,3988,317,240,1.0,Semiurban,Y
Male,No,2,Not Graduate,Yes,3146,4066,84,180,0.0,Semiurban,Y
Female,Yes,2,Graduate,No,1513,1567,316,240,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,6099,38,113,180,0.0,Semiurban,N
Female,No,0,Graduate,No,3778,2544,99,360,1.0,Urban,N
Female,Yes,0,Not Graduate,Yes,4655,4875,304,180,0.0,Semiurban,N
Male,Yes,1,Graduate,No,9821,1256,198,120,1.0,Semiurban,N
Female,No,1,Graduate,No,5314,2990,374,120,0.0,Semiurban,Y
Male,No,2,Not Graduate,No,4716,2196,353,180,1.0,Urban,Y
Female,Yes,2,Not Graduate,Yes,9719,3468,325,180,0.0,Semiurban,N
Male,No,2,Not Graduate,Yes,3613,2708,406,180,0.0,Urban,N
Male,Yes,1,Not Graduate,No,5856,301,221,240,0.0,Urban,N
Female,No,3+,Graduate,No,7043,646,466,180,0.0,Semiurban,N
Female,Yes,3+,Graduate,Yes,6055,4758,250,360,0.0,Semiurban,N
Male,No,1,Graduate,Yes,8562,1759,494,240,0.0,Urban,Y
Female,Yes,1,Graduate,Yes,4874,4351,442,240,0.0,Urban,Y
Female,Yes,1,Not Graduate,No,7930,597,373,180,0.0,Rural,Y
Female,Yes,1,Graduate,Yes,4966,661,84,360,0.0,Urban,N
Male,No,1,Graduate,Yes,4581,4330,265,240,1.0,Rural,N
Male,Yes,1,Not Graduate,No,2129,1368,114,120,1.0,Rural,N
Male,Yes,2,Graduate,Yes,1769,2581,57,240,0.0,Rural,N
Male,No,2,Graduate,Yes,7224,3868,350,180,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,7397,3537,392,360,0.0,Semiurban,Y
Male,Yes,2,Graduate,No,4932,4865,480,180,0.0,Urban,N
Male,Yes,1,Graduate,No,7776,4308,473,120,1.0,Rural,Y
Male,No,3+,Graduate,No,7395,4558,381,120,0.0,Semiurban,Y
Male,No,0,Not Graduate,No,8615,282,487,120,0.0,Semiurban,N
Female,No,1,Not Graduate,No,8156,3678,125,180,1.0,Semiurban,N
Male,No,0,Graduate,No,2075,1486,223,240,1.0,Semiurban,N
Female,No,3+,Graduate,No,8529,4082,96,180,0.0,Semiurban,N
Female,Yes,2,Not Graduate,Yes,7599,4183,64,360,1.0,Rural,N
Female,No,3+,Graduate,Yes,4692,460,410,240,1.0,Rural,N
Male,Yes,1,Graduate,No,4678,2325,196,120,0.0,Rural,Y
Male,Yes,2,Graduate,Yes,7552,3754,75,180,1.0,Rural,Y
Male,Yes,1,Not Graduate,Yes,4234,2468,357,120,1.0,Urban,N
Male,No,2,Graduate,No,7616,1724,142,120,0.0,Rural,Y
Female,Yes,0,Not Graduate,Yes,5068,1376,455,360,1.0,Semiurban,N
Male,Yes,0,Graduate,Yes,3703,2743,281,240,1.0,Rural,N
Male,No,0,Not Graduate,Yes,2890,514,70,360,0.0,Urban,N
Male,Yes,3+,Not Graduate,Yes,3242,702,356,360,0.0,Semiurban,N
Male,Yes,1,Graduate,Yes,3425,1653,87,360,0.0,Rural,Y
Male,No,3+,Not Graduate,No,2119,2066,325,120,1.0,Rural,N
Female,Yes,0,Graduate,No,2774,22,206,360,0.0,Rural,Y
Male,Yes,1,Not Graduate,No,2456,2460,228,360,0.0,Semiurban,N
Female,Yes,0,Graduate,Yes,3439,1304,181,240,1.0,Semiurban,N
Male,No,3+,Graduate,No,5453,3300,360,240,0.0,Urban,N
Female,No,3+,Not Graduate,Yes,2468,361,397,360,0.0,Semiurban,Y
Male,No,3+,Graduate,Yes,1781,3727,77,240,0.0,Semiurban,N
Male,Yes,0,Graduate,Yes,7762,1284,309,240,0.0,Rural,N
Female,Yes,1,Not Graduate,Yes,2558,514,455,360,1.0,Semiurban,N
Female,No,1,Graduate,No,5793,448,125,120,0.0,Rural,Y
Female,Yes,0,Graduate,No,6678,1855,478,360,0.0,Rural,Y
Male,Yes,1,Not Graduate,Yes,8480,4969,116,240,1.0,Semiurban,Y
Female,No,0,Not Graduate,No,2729,3562,391,120,0.0,Urban,N
Male,No,1,Graduate,Yes,6085,2520,243,180,1.0,Urban,Y
Male,Yes,2,Graduate,No,9967,3081,211,120,1.0,Semiurban,N
Female,Yes,2,Not Graduate,No,4240,1428,396,240,1.0,Urban,Y
Female,Yes,3+,Not Graduate,Yes,3789,3967,488,120,0.0,Rural,Y
Male,No,2,Graduate,No,2739,922,410,360,1.0,Rural,N
Male,No,2,Not Graduate,Yes,6870,3137,306,180,1.0,Semiurban,Y
Female,No,2,Graduate,No,1625,2159,121,180,1.0,Urban,N
Female,No,0,Graduate,Yes,8973,2547,136,180,0.0,Urban,N
Female,Yes,2,Graduate,Yes,6842,2979,471,240,0.0,Rural,Y
Male,No,2,Graduate,No,8851,2281,311,240,0.0,Semiurban,N
Male,No,3+,Graduate,No,8138,2649,263,180,0.0,Urban,N
Male,No,2,Not Graduate,Yes,8070,313,202,120,0.0,Semiurban,Y
Male,No,2,Not Graduate,No,4749,2613,259,180,0.0,Urban,Y
Male,No,1,Not Graduate,No,9095,3083,450,120,0.0,Rural,N
Male,Yes,3+,Not Graduate,Yes,7794,2256,110,120,1.0,Rural,Y
Female,Yes,3+,Graduate,Yes,8027,1037,317,240,1.0,Semiurban,N
Male,No,3+,Graduate,No,7257,3489,311,120,1.0,Rural,N
Male,Yes,3+,Graduate,Yes,3469,2634,267,180,1.0,Urban,Y
Male,No,3+,Graduate,Yes,2391,3983,332,240,0.0,Rural,Y
Female,No,3+,Not Graduate,Yes,5970,1778,185,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,8675,3895,429,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,9820,1124,411,240,1.0,Semiurban,N
Female,No,3+,Not Graduate,Yes,8312,697,498,180,1.0,Urban,N
Male,No,2,Not Graduate,No,9019,2179,490,360,0.0,Urban,Y
Male,No,2,Not Graduate,Yes,6112,1404,142,360,0.0,Urban,Y
Male,Yes,0,Not Graduate,No,2698,1043,158,120,0.0,Urban,N
Male,No,3+,Graduate,Yes,6738,1929,290,120,1.0,Urban,N
Male,No,1,Graduate,Yes,7589,1013,404,180,0.0,Rural,N
Female,No,0,Not Graduate,No,7757,226,473,240,1.0,Urban,N
Female,Yes,1,Graduate,Yes,9205,1828,191,180,0.0,Urban,Y
Female,No,2,Graduate,No,5219,4917,340,240,0.0,Rural,N
Male,No,2,Graduate,No,1802,2023,481,360,0.0,Urban,N
Male,Yes,0,Not Graduate,Yes,2486,4966,286,120,0.0,Semiurban,Y
Male,No,0,Graduate,Yes,5940,2452,389,180,0.0,Urban,N
Female,No,1,Not Graduate,No,6409,2085,361,180,1.0,Urban,N
Male,Yes,3+,Graduate,Yes,4572,4283,226,240,0.0,Semiurban,Y
Male,No,1,Graduate,Yes,4624,1080,190,240,1.0,Semiurban,Y
Female,Yes,0,Graduate,Yes,9625,2320,238,180,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,4791,3190,98,240,1.0,Semiurban,N
Female,No,0,Graduate,Yes,5533,2630,351,180,1.0,Urban,N
Female,No,1,Not Graduate,No,6605,2563,418,180,1.0,Semiurban,Y
Female,No,0,Not Graduate,No,2203,3292,239,180,0.0,Semiurban,Y
Male,No,0,Not Graduate,Yes,9633,4621,185,360,0.0,Rural,N
Male,Yes,0,Graduate,Yes,2074,3586,92,240,0.0,Semiurban,Y
Male,No,3+,Graduate,Yes,7204,4431,453,120,0.0,Semiurban,Y
Male,Yes,1,Graduate,No,9348,2947,429,120,1.0,Rural,Y
Male,No,1,Graduate,Yes,6708,3959,402,240,0.0,Rural,N
Male,No,1,Not Graduate,No,8424,2813,139,180,0.0,Urban,N
Male,No,0,Not Graduate,No,5328,2583,344,120,1.0,Rural,N
Female,Yes,1,Not Graduate,No,4730,161,390,120,1.0,Urban,N
Male,No,1,Graduate,Yes,1988,593,294,240,0.0,Rural,N
Female,No,0,Not Graduate,No,8614,3259,482,120,0.0,Rural,N
Male,No,2,Graduate,Yes,4673,4155,241,180,1.0,Urban,Y
Male,No,0,Not Graduate,No,3167,2962,367,240,0.0,Rural,N
Male,Yes,1,Graduate,Yes,5614,3888,155,180,0.0,Urban,N
Female,No,0,Graduate,No,5053,3390,412,120,0.0,Rural,Y
Female,Yes,2,Not Graduate,Yes,9261,4501,359,120,0.0,Semiurban,N
Female,Yes,0,Not Graduate,No,2500,663,431,180,1.0,Rural,N
Female,Yes,1,Not Graduate,Yes,2888,1132,282,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,Yes,6950,541,314,120,1.0,Rural,Y
Female,Yes,3+,Graduate,Yes,5212,2974,393,360,0.0,Urban,Y
Male,Yes,1,Not Graduate,Yes,2867,867,86,120,0.0,Urban,N
Male,No,2,Not Graduate,No,9689,2066,354,360,0.0,Semiurban,Y
Female,Yes,2,Not Graduate,No,1954,431,90,360,0.0,Semiurban,N
Female,Yes,3+,Graduate,Yes,4272,4835,66,360,0.0,Urban,N
Female,Yes,0,Graduate,No,5226,4278,393,180,1.0,Rural,N
Female,No,0,Not Graduate,Yes,8732,1206,326,360,0.0,Urban,N
Female,No,1,Graduate,Yes,6306,2528,356,360,0.0,Urban,Y
Female,Yes,3+,Not Graduate,No,3690,1169,108,360,1.0,Rural,Y
Female,No,0,Graduate,Yes,4375,830,472,120,0.0,Rural,N
Female,Yes,3+,Graduate,Yes,7092,1651,232,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,2940,1136,90,120,1.0,Rural,N
Female,No,2,Graduate,Yes,7559,2810,88,360,1.0,Urban,N
Female,Yes,0,Not Graduate,Yes,8510,475,446,360,1.0,Urban,N
Male,No,3+,Not Graduate,Yes,8617,2810,241,180,1.0,Semiurban,Y
Female,No,2,Not Graduate,Yes,4489,1326,316,120,0.0,Urban,N
Male,Yes,2,Graduate,No,7728,1019,196,360,1.0,Rural,N
Male,Yes,2,Not Graduate,No,7971,1836,444,120,1.0,Semiurban,Y
Female,No,3+,Not Graduate,No,4363,4256,382,120,0.0,Rural,Y
Male,Yes,1,Not Graduate,Yes,2677,2448,176,240,0.0,Urban,Y
Male,Yes,1,Graduate,Yes,6260,4293,95,180,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,1511,1283,94,180,0.0,Rural,N
Male,No,3+,Graduate,Yes,6752,659,50,180,0.0,Semiurban,Y
Female,No,2,Not Graduate,Yes,5899,2010,217,240,1.0,Semiurban,N
Male,Yes,1,Not Graduate,Yes,9734,398,157,240,1.0,Urban,Y
Female,No,3+,Not Graduate,Yes,6945,1733,68,180,0.0,Rural,Y
Male,No,1,Graduate,No,8070,2125,381,240,1.0,Semiurban,Y
Male,No,0,Graduate,No,9712,2171,121,240,1.0,Semiurban,Y
Male,No,1,Not Graduate,No,1906,74,494,240,0.0,Rural,Y
Male,No,1,Graduate,Yes,5931,4697,158,180,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6743,3471,317,180,1.0,Semiurban,N
Female,Yes,3+,Graduate,No,8042,836,494,180,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,8436,499,289,240,1.0,Rural,Y
Male,No,2,Not Graduate,Yes,5646,137,466,180,1.0,Rural,Y
Female,No,2,Graduate,No,1640,2097,350,240,0.0,Rural,Y
Male,Yes,2,Graduate,No,6382,3696,139,360,0.0,Rural,N
Male,No,2,Graduate,No,7512,1885,152,240,1.0,Urban,Y
Male,Yes,1,Graduate,No,2463,2757,299,120,0.0,Semiurban,Y
Female,Yes,2,Not Graduate,Yes,8651,3920,57,180,1.0,Rural,Y
Female,Yes,2,Not Graduate,No,5110,1900,202,180,1.0,Semiurban,Y
Female,No,3+,Graduate,No,8394,2610,396,120,1.0,Semiurban,N
Male,No,0,Graduate,Yes,8811,3986,223,240,1.0,Urban,Y
Male,Yes,1,Graduate,No,1605,1449,392,360,1.0,Rural,N
Female,Yes,1,Graduate,Yes,7039,546,207,120,0.0,Rural,Y
Female,Yes,1,Graduate,Yes,8287,4676,480,120,0.0,Semiurban,N
Female,Yes,2,Graduate,Yes,3637,2003,264,240,1.0,Rural,N
Female,No,2,Not Graduate,No,5945,2096,226,180,0.0,Semiurban,Y
Male,No,2,Graduate,No,5030,703,224,240,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,2786,2403,389,120,0.0,Urban,N
Male,Yes,0,Not Graduate,No,8552,1625,387,120,1.0,Urban,N
Female,No,2,Graduate,No,5154,3331,195,180,0.0,Urban,Y
Male,No,0,Not Graduate,Yes,8602,4733,499,180,1.0,Semiurban,N
Female,Yes,3+,Not Graduate,Yes,3859,2978,373,180,1.0,Rural,N
Female,Yes,1,Not Graduate,No,9605,4736,210,240,0.0,Urban,N
Female,Yes,2,Not Graduate,Yes,7941,2839,176,180,0.0,Rural,Y
Female,No,0,Not Graduate,No,6547,3384,469,120,1.0,Urban,N
Male,No,0,Not Graduate,No,9727,2659,131,120,0.0,Urban,N
Female,No,2,Graduate,No,6703,1861,196,360,1.0,Semiurban,N
Male,Yes,1,Not Graduate,No,3298,2856,288,240,0.0,Urban,Y
Male,Yes,1,Not Graduate,Yes,6791,685,461,360,0.0,Urban,Y
Male,No,1,Not Graduate,Yes,6995,4283,473,120,1.0,Semiurban,N
Male,No,3+,Graduate,Yes,7784,1619,133,360,0.0,Rural,Y
Female,Yes,0,Not Graduate,Yes,8785,4643,162,120,0.0,Urban,N
Male,No,0,Graduate,No,2800,1431,274,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,8369,875,381,180,0.0,Urban,Y
Male,Yes,3+,Graduate,Yes,4597,4713,427,360,1.0,Semiurban,N
Female,No,0,Graduate,No,6116,2461,292,180,1.0,Rural,Y
Female,Yes,3+,Not Graduate,No,1509,1365,192,180,1.0,Rural,Y
Female,Yes,1,Not Graduate,No,7252,1243,90,240,1.0,Semiurban,Y
Female,Yes,2,Graduate,Yes,7795,4998,472,180,1.0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,6315,162,307,180,0.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,2572,1974,496,360,1.0,Rural,Y
Female,Yes,1,Graduate,No,4725,3291,334,120,1.0,Urban,N
Male,Yes,2,Graduate,Yes,2816,269,154,240,0.0,Rural,Y
Male,No,3+,Graduate,Yes,7199,631,251,180,0.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,8307,905,499,240,0.0,Semiurban,Y
Female,Yes,1,Not Graduate,Yes,8174,3471,356,360,1.0,Rural,Y
Female,No,1,Graduate,Yes,5183,3253,380,180,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,8727,2014,315,360,1.0,Rural,N
Female,No,3+,Not Graduate,No,4773,1641,447,240,0.0,Semiurban,N
Female,Yes,3+,Graduate,No,8500,204,259,360,1.0,Urban,Y
Female,No,0,Not Graduate,Yes,1645,581,100,240,0.0,Urban,Y
Female,Yes,3+,Not Graduate,Yes,6510,840,167,360,1.0,Semiurban,Y
Female,Yes,2,Not Graduate,No,4540,1719,250,240,0.0,Rural,N
Male,Yes,1,Graduate,No,1982,2643,426,120,1.0,Urban,N
Female,Yes,0,Graduate,Yes,4679,2297,88,360,1.0,Rural,Y
Male,No,0,Graduate,Yes,2749,874,77,360,1.0,Semiurban,Y
Male,No,1,Not Graduate,Yes,2130,689,308,120,0.0,Rural,N
Female,Yes,3+,Graduate,Yes,4352,4000,133,120,0.0,Urban,Y
Male,Yes,1,Not Graduate,No,2487,3141,204,360,1.0,Rural,N
Male,Yes,3+,Graduate,Yes,9122,1422,166,120,1.0,Rural,N
Male,No,1,Not Graduate,Yes,8827,671,51,180,1.0,Semiurban,Y
Female,Yes,2,Graduate,Yes,2600,1171,142,240,0.0,Semiurban,N
Female,Yes,3+,Graduate,Yes,8152,3726,215,240,1.0,Semiurban,Y
Male,No,2,Graduate,No,8921,943,436,240,1.0,Urban,Y
Female,No,0,Not Graduate,No,6516,1449,449,180,1.0,Urban,Y
Female,Yes,1,Not Graduate,No,2269,3737,399,120,1.0,Semiurban,Y
Female,No,0,Graduate,Yes,2843,2539,345,120,0.0,Semiurban,Y
Female,No,0,Graduate,Yes,5858,3959,307,360,0.0,Urban,Y
Male,Yes,0,Not Graduate,No,8280,4991,130,120,1.0,Urban,N
Male,No,0,Not Graduate,Yes,8102,4260,474,360,1.0,Urban,N
Female,Yes,1,Not Graduate,Yes,3849,2361,317,180,0.0,Urban,N
Female,No,0,Graduate,No,7199,3652,468,240,0.0,Semiurban,N
Male,Yes,1,Not Graduate,No,2741,3670,284,240,1.0,Urban,Y
Male,Yes,1,Graduate,No,2625,1753,370,240,0.0,Semiurban,N
Female,Yes,2,Not Graduate,No,8264,2352,360,120,0.0,Rural,N
Male,No,3+,Graduate,Yes,6601,1938,350,360,1.0,Rural,N
Female,Yes,3+,Not Graduate,Yes,9343,370,406,360,0.0,Urban,Y
Female,No,1,Not Graduate,No,1572,4948,262,180,0.0,Rural,N
Male,Yes,2,Not Graduate,Yes,6972,4479,111,120,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,6689,1931,98,180,1.0,Rural,N
Female,No,1,Not Graduate,No,3972,424,176,360,0.0,Urban,Y
Female,Yes,1,Graduate,Yes,2207,4724,272,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,3304,894,458,240,0.0,Rural,N
Female,No,3+,Not Graduate,Yes,8204,597,328,120,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,5213,3062,457,360,0.0,Rural,Y
Female,Yes,0,Graduate,Yes,6551,2336,343,240,1.0,Urban,N
Male,Yes,2,Not Graduate,Yes,3975,4688,333,120,0.0,Urban,N
Male,Yes,2,Graduate,No,5110,1687,326,180,0.0,Urban,N
Male,No,2,Not Graduate,Yes,5755,572,487,120,0.0,Rural,Y
Female,No,2,Not Graduate,No,8897,2090,156,120,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,3235,3669,195,360,1.0,Urban,Y
Male,No,0,Not Graduate,No,9758,4272,469,360,0.0,Urban,N
Female,Yes,3+,Graduate,No,9479,4624,148,120,0.0,Rural,Y
Male,No,3+,Graduate,Yes,3928,1633,478,360,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,8926,1517,424,360,1.0,Rural,Y
Female,Yes,1,Graduate,No,6749,4293,122,360,1.0,Urban,Y
Female,Yes,1,Not Graduate,No,6791,2657,486,240,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,Yes,4317,3648,171,240,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,5374,4948,79,120,1.0,Urban,Y
Female,Yes,2,Graduate,Yes,5711,3588,237,360,0.0,Semiurban,N
Male,No,3+,Graduate,No,2161,1537,413,240,1.0,Semiurban,N
Male,Yes,2,Graduate,Yes,4874,3137,403,120,0.0,Rural,N
Female,No,1,Not Graduate,No,1707,97,337,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,4165,3215,244,180,1.0,Urban,Y
